Quarter,BSR,CNG,GAS,PGC,PGD,PGS,PLX,POS,POW,PTV,PVB,PVC,PVD,PVG,PVS
Q1.2020,-0.0029835994,0.1615107296,0.230290151,0.1511086764,0.1726639427,0.0353890475,0.0512248602,0.0457164204,0.0701533769,0.0150749092,0.234691598,0.0228629648,0.0214670501,-0.0385090044,0.0367432983
Q2.2020,-0.0663720673,0.1085370525,0.1975447954,0.1517125596,0.1198675903,0.0165889002,0.0467883759,0.0689032089,0.072442263,0.0517915638,0.3468756646,0.0107146084,0.0180714273,-0.0215611195,0.0404879418
Q3.2020,-0.0813951604,0.0763451037,0.1800651536,0.1454016285,0.1373373341,0.0301081639,0.0430569119,0.1129702824,0.0518866823,0.026754062,0.3254711652,0.0090017021,0.0188506467,-0.0007356367,0.0507050485
Q4.2020,-0.0865762349,0.0943801527,0.1585031195,0.142732949,0.1506746163,0.0576942168,0.0394993306,0.1296739861,0.077827382,-0.0062419889,0.1414409324,0.0063433599,0.0133160307,0.0010626809,0.0482691453
Q1.2021,0.044630132615566254,0.1024966282,0.1484560659,0.16686931252479553,0.1460206333,0.09611938148736954,0.14574836194515228,0.1364724163,0.07273777574300766,0.003521458012983203,0.0,0.006116170436143875,0.004038107581436634,0.0356126346,0.052245091646909714
Q2.2021,0.154884876,0.1426392448,0.1626922636,0.1784845544,0.189508342,0.1163342174,0.1557564625,0.1134371841,0.0750558713,-0.0200773333,-0.098504532,0.0164142988,5.27604e-05,0.0390245712,0.0435584749
Q3.2021,0.1578979803,0.1540869891,0.1686508986,0.148237787,0.1843139176,0.099754908,0.1200039597,0.0579924031,0.0857605714,0.001421244,-0.1057384396,0.0141096899,0.0020779479,0.0432148042,0.0455353654
Q4.2021,0.1957064364,0.1596267449,0.1705725122,0.1454807025,0.1873292063,0.0793843097,0.1083828535,0.0324378406,0.0576533811,-0.0011506962,0.0014694099,0.0093163202,0.0014030382,0.0299214291,0.0473011208
Q1.2022,0.1950645526,0.2003545888,0.1956286637,0.1367524959,0.2140775365,0.0996327614,0.0862176102,0.0349766906,0.0618914506,-0.0102720525,0.0394560613,0.0138111341,0.0048087927,0.0240202009,0.0525150474
Q2.2022,0.3873142758,0.2271474289,0.23591125,0.1140606717,0.2202464218,0.1119471872,0.0320577444,0.0418788382,0.0485553456,-0.007016597,0.0490015493,0.0089873359,5.02933e-05,0.0201000375,0.0414648311
Q3.2022,0.3557270925,0.2351927741,0.238570999,0.1370363452,0.2282366098,0.1120661202,0.0332347548,0.0406236581,0.0357132619,-0.0058764462,0.0561808881,0.0078059949,-0.0071762555,0.026978932,0.0393434086
Q4.2022,0.3318342532,0.2159747585,0.2610708469,0.1448061727,0.0,0.0976026049,0.0517369193,0.0397974954,0.0639950252,0.0020921967,-0.034815728,0.0140713542,-0.007377174,0.0327826298,0.0691519664
Q1.2023,0.2719140444,0.2036436877,0.2462157897,0.1457100138,0.2838853295,0.0953849504,0.0773852517,0.040578128,0.056541338,0.0009321035,-0.0628682242,0.0307037704,0.0019012049,0.0342008291,0.0589726693
Q2.2023,0.0965055054,0.161369441,0.20810027,0.144280252,0.2709792048,0.0864242613,0.1105301214,0.0450219625,0.0461932671,0.0066903026,-0.0537754304,0.0256148512,0.0179094939,0.028256557,0.0760238309
Q3.2023,0.1468282675,0.1805410985,0.1936733233,0.1295985411,0.2244326306,0.093828667,0.1339670217,0.0662232335,0.0461627816,0.0008471863,-0.0556959422,0.0419348875,0.0307946991,0.0213872186,0.0711152071
Q4.2023,0.1592246322,0.1884915478,0.1873354425,0.1152560168,0.1797846776,0.1046550548,0.1123838372,0.0689278033,0.0335327307,-0.0105742575,0.0091479821,0.0245726257,0.0410262789,0.0022129191,0.0815991558
Q1.2024,0.1444869291,0.1408997203,0.1668093551,0.1108226823,0.1300372588,0.1030028672,0.1268026518,0.0985681065,0.0262215307,-0.017199731,0.0839351536,0.0150472872,0.0457317162,-0.0032065144,0.0746456816
Q2.2024,0.1301624458,0.189236939,0.1670983677,0.117181417,0.0,0.109921762,0.1411818774,0.1069966708,0.0345843991,-0.0216477201,0.0930027267,0.0159347938,0.0429268992,-0.0024335533,0.0712441891
Q3.2024,0.052073332,0.181171561,0.1714244588,0.130673566,0.212973916,0.118153137,0.1150545378,0.0995237562,0.0442815601,-0.0205335293,0.0813562402,-0.0003056148,0.044530857,0.0066189249,0.0700762939
Q4.2024,0.0111804517,0.1475183553,0.1673155558,0.1258122448,0.1730905443,0.1145622786,0.1112267255,0.110589665,0.0350525618,0.0011919572,0.0386762314,0.0035187307,0.0458160591,0.0261171074,0.0810345569
Q1.2025,-0.0020174015,0.1468861941,0.1695719942,0.1244671312,0.1388272982,0.1156680926,0.0757059432,0.0914652164,0.0399900686,0.0017552496,-0.0050724615,0.0063434521,0.0442834408,0.0296182395,0.0816322869
Q2.2025,-0.0008925268,0.1336390247,0.1939562728,0.1216663301,0.1046425054,0.1171472171,0.0822409149,0.086727207,0.046121393,0.0036976079,0.0323038834,0.0100521207,0.049955297,0.0333432702,0.0924574822
Q3.2025,0.036704876,0.1304372998,0.1892876899,0.1194229751,0.0897512836,0.117853513,0.1032625758,0.0961041358,0.0581154539,-2.8247e-06,0.1148391257,0.0212553551,0.0545717873,0.0285145603,0.1041109931
Q4.2025,0.0894443913,0.1082894749,0.1804028909,0.1294591893,0.1140197977,0.1131085977,0.1033932236,0.1227010784,0.0705563328,-0.015074406,0.1496837328,0.0287315223,0.0635672463,0.0293283605,0.1273558835
