Mã CP,Ngày bắt đầu,Giá bắt đầu,Ngày kết thúc,Giá kết thúc,Thay đổi (%)
BSR,28/02/2025,12.66,19/03/2026,29.3,131.43759873617694
PTV,28/02/2025,4.2,19/03/2026,7.1,69.04761904761904
PGS,28/02/2025,31.43,11/03/2026,52.9,68.31053133948457
PVC,28/02/2025,11.5,19/03/2026,17.8,54.78260869565218
PVD,28/02/2025,24.2,19/03/2026,36.8,52.06611570247933
GAS,28/02/2025,64.01,19/03/2026,88.1,37.63474457116074
PVS,28/02/2025,33.27,19/03/2026,42.9,28.944995491433705
POW,28/02/2025,10.12,19/03/2026,12.95,27.96442687747036
PEQ,28/02/2025,39.86,19/03/2026,48.5,21.675865529352738
PLX,28/02/2025,42.14,19/03/2026,46.0,9.159943046986236
PGC,28/02/2025,14.5,19/03/2026,13.9,-4.137931034482756
PVG,28/02/2025,7.7,19/03/2026,6.9,-10.389610389610388
PVB,28/02/2025,34.8,19/03/2026,30.6,-12.068965517241368
CNG,28/02/2025,29.77,19/03/2026,24.0,-19.38192811555257
PGD,28/02/2025,29.59,19/03/2026,23.6,-20.243325447786408
POS,28/02/2025,23.48,19/03/2026,16.9,-28.023850085178882
